x,y,u
0.3500000000,0.3000000000,0.6161174389
0.4000000000,0.3000000000,0.6638615578
0.4500000000,0.3000000000,0.7124879738
0.5000000000,0.3000000000,0.7620267721
0.5500000000,0.3000000000,0.8124879737
0.6000000000,0.3000000000,0.8638615577
0.6500000000,0.3000000000,0.9161174388
0.7000000000,0.3000000000,0.9692054503
0.7500000000,0.3000000000,1.0230554649
0.8000000000,0.3000000000,1.0775778614
0.8500000000,0.3000000000,1.1326645830
0.9000000000,0.3000000000,1.1881910191
0.9500000000,0.3000000000,1.2440188687
1.0000000000,0.3000000000,1.3000000000
0.0000000000,0.3500000000,0.3500000000
0.0500000000,0.3500000000,0.3926538846
0.1000000000,0.3500000000,0.4354983108
0.1500000000,0.3500000000,0.4787168808
0.2000000000,0.3500000000,0.5224800703
0.2500000000,0.3500000000,0.5669403377
0.3000000000,0.3500000000,0.6122287521
0.3500000000,0.3500000000,0.6584530534
0.4000000000,0.3500000000,0.7056968423
0.4500000000,0.3500000000,0.7540195027
0.5000000000,0.3500000000,0.8034564660
0.5500000000,0.3500000000,0.8540195026
0.6000000000,0.3500000000,0.9056968422
0.6500000000,0.3500000000,0.9584530533
0.7000000000,0.3500000000,1.0122287521
0.7500000000,0.3500000000,1.0669403377
0.8000000000,0.3500000000,1.1224800703
0.8500000000,0.3500000000,1.1787168808
0.9000000000,0.3500000000,1.2354983108
0.9500000000,0.3500000000,1.2926538846
1.0000000000,0.3500000000,1.3500000000
0.0000000000,0.4000000000,0.4000000000
0.0500000000,0.4000000000,0.4410983589
0.1000000000,0.4000000000,0.4824314588
0.1500000000,0.4000000000,0.5242245591
0.2000000000,0.4000000000,0.5666852014
0.2500000000,0.4000000000,0.6099970636
0.3000000000,0.4000000000,0.6543161670
0.3500000000,0.4000000000,0.6997691802
0.4000000000,0.4000000000,0.7464532551
0.4500000000,0.4000000000,0.7944367287
0.5000000000,0.4000000000,0.8437600866
0.5500000000,0.4000000000,0.8944367286
0.6000000000,0.4000000000,0.9464532550
0.6500000000,0.4000000000,0.9997691802
0.7000000000,0.4000000000,1.0543161670
0.7500000000,0.4000000000,1.1099970636
0.8000000000,0.4000000000,1.1666852013
0.8500000000,0.4000000000,1.2242245591
0.9000000000,0.4000000000,1.2824314587
0.9500000000,0.4000000000,1.3410983588
1.0000000000,0.4000000000,1.4000000000
0.0000000000,0.4500000000,0.4500000000
0.0500000000,0.4500000000,0.4893080921
0.1000000000,0.4500000000,0.5289046063
0.1500000000,0.4500000000,0.5690646954
0.2000000000,0.4500000000,0.6100391124
0.2500000000,0.4500000000,0.6520465484
0.3000000000,0.4500000000,0.6952696720
0.3500000000,0.4500000000,0.7398542453
0.4000000000,0.4500000000,0.7859102693
0.4500000000,0.4500000000,0.8335140703
0.5000000000,0.4500000000,0.8827104230
0.5500000000,0.4500000000,0.9335140703
0.6000000000,0.4500000000,0.9859102693
0.6500000000,0.4500000000,1.0398542453
0.7000000000,0.4500000000,1.0952696720
0.7500000000,0.4500000000,1.1520465485
0.8000000000,0.4500000000,1.2100391124
0.8500000000,0.4500000000,1.2690646953
0.9000000000,0.4500000000,1.3289046062
0.9500000000,0.4500000000,1.3893080920
1.0000000000,0.4500000000,1.4500000000
0.0000000000,0.5000000000,0.5000000000
0.0500000000,0.5000000000,0.5372294032
0.1000000000,0.5000000000,0.5748141789
0.1500000000,0.5000000000,0.6130905036
